,alpha,best,ave
0,0.0,"[0.40708476305007935, 0.5163635611534119, 0.15512335300445557]",0.3595238924026489
1,0.1,"[0.40333622694015503, 0.5358729958534241, 0.44878089427948]",0.46266337235768634
2,0.2,"[0.4052734375, 0.5598405599594116, 0.4623454809188843]",0.47581982612609863
3,0.3,"[0.4084004759788513, 0.5409908890724182, 0.46502572298049927]",0.4714723626772563
4,0.4,"[0.3977109491825104, 0.5410969257354736, 0.47419556975364685]",0.47100114822387695
5,0.5,"[0.387193888425827, 0.5114732980728149, 0.43641120195388794]",0.44502612948417664
6,0.6,"[0.3965266942977905, 0.5228829383850098, 0.45707839727401733]",0.4588293433189392
7,0.7,"[0.3862999379634857, 0.5591380596160889, 0.4767228364944458]",0.4740536113580068
8,0.8,"[0.37824746966362, 0.552910327911377, 0.47861188650131226]",0.4699232280254364
9,0.9,"[0.403085857629776, 0.5412927269935608, 0.46346384286880493]",0.46928080916404724
10,1.0,"[0.3902895450592041, 0.5423365235328674, 0.45834583044052124]",0.46365729967753094
