,do_rate,vad,ave
0,0.0,"[0.4088269770145416, 0.5643905997276306, 0.4881889522075653]",0.48713550964991253
1,0.1,"[0.43500229716300964, 0.5855069756507874, 0.5195828080177307]",0.5133640269438425
2,0.2,"[0.16962425410747528, 0.5814018845558167, 0.4495469331741333]",0.4001910239458084
3,0.30000000000000004,"[0.40929028391838074, 0.5813173055648804, 0.49215075373649597]",0.4942527810732524
4,0.4,"[0.3764611780643463, 0.5164316892623901, 0.4372566044330597]",0.4433831572532654
5,0.5,"[0.40756943821907043, 0.5771614909172058, 0.49321305751800537]",0.4926479955514272
6,0.6000000000000001,"[0.42127013206481934, 0.5518298149108887, 0.4847719669342041]",0.4859573046366374
7,0.7000000000000001,"[0.39215782284736633, 0.5645366311073303, 0.47701337933540344]",0.4779026110967
8,0.8,"[0.40687426924705505, 0.5658840537071228, 0.48242878913879395]",0.4850623706976573
9,0.9,"[0.4023638069629669, 0.5622566938400269, 0.48358795046806335]",0.48273615042368573
10,1.0,"[0.4259902536869049, 0.5494338870048523, 0.4883214235305786]",0.48791518807411194
