,do_1,do_2,vad,ave
0,0.1,0.1,"[0.40545621514320374, 0.557560920715332, 0.5039209127426147]",0.48897934953371686
1,0.1,0.2,"[0.39065805077552795, 0.5836672186851501, 0.5182958841323853]",0.4975403845310211
2,0.1,0.30000000000000004,"[0.16346986591815948, 0.5587630271911621, 0.44245466589927673]",0.38822918633619946
3,0.1,0.4,"[0.1669692099094391, 0.5755288600921631, 0.45745524764060974]",0.3999844392140706
4,0.1,0.5,"[0.39460471272468567, 0.5575637221336365, 0.4840320348739624]",0.47873348991076153
5,0.1,0.6,"[0.1524081975221634, 0.5741939544677734, 0.4324895739555359]",0.3863639086484909
6,0.1,0.7000000000000001,"[0.4135358929634094, 0.5768043994903564, 0.4824903905391693]",0.4909435609976451
7,0.1,0.8,"[0.3991920053958893, 0.5818875432014465, 0.507516622543335]",0.49619872371355694
8,0.1,0.9,"[0.3656153976917267, 0.567080557346344, 0.4832834005355835]",0.4719931185245514
9,0.2,0.1,"[0.18881374597549438, 0.568904459476471, 0.44294026494026184]",0.4002194901307424
10,0.2,0.2,"[0.40269601345062256, 0.5860819220542908, 0.4907095432281494]",0.49316249291102093
11,0.2,0.30000000000000004,"[0.40357211232185364, 0.5427027940750122, 0.4735000431537628]",0.4732583165168762
12,0.2,0.4,"[0.3685486912727356, 0.5505322217941284, 0.44249334931373596]",0.4538580874602
13,0.2,0.5,"[0.1609022319316864, 0.5585153698921204, 0.4505285620689392]",0.38998205463091534
14,0.2,0.6,"[0.17695528268814087, 0.5670878291130066, 0.4446813762187958]",0.39624149600664776
15,0.2,0.7000000000000001,"[0.1803159862756729, 0.5769805312156677, 0.44372427463531494]",0.4003402640422185
16,0.2,0.8,"[0.4121011197566986, 0.590187132358551, 0.5046177506446838]",0.5023020009199778
17,0.2,0.9,"[0.3999047875404358, 0.584918737411499, 0.47064679861068726]",0.485156774520874
18,0.30000000000000004,0.1,"[0.39922666549682617, 0.5611916780471802, 0.4735550284385681]",0.47799112399419147
19,0.30000000000000004,0.2,"[0.15437500178813934, 0.5819634199142456, 0.4403790831565857]",0.39223916828632355
20,0.30000000000000004,0.30000000000000004,"[0.4215966463088989, 0.5770368576049805, 0.48632773756980896]",0.4949870804945628
21,0.30000000000000004,0.4,"[0.394933819770813, 0.5838677883148193, 0.4975563883781433]",0.49211933215459186
22,0.30000000000000004,0.5,"[0.16944608092308044, 0.5639475584030151, 0.42852962017059326]",0.38730775316556293
23,0.30000000000000004,0.6,"[0.17101338505744934, 0.5808669328689575, 0.4521825909614563]",0.40135430296262103
24,0.30000000000000004,0.7000000000000001,"[0.3882203698158264, 0.5818452835083008, 0.4917285144329071]",0.4872647225856781
25,0.30000000000000004,0.8,"[0.41851675510406494, 0.5502714514732361, 0.46350452303886414]",0.47743090987205505
26,0.30000000000000004,0.9,"[0.4284224510192871, 0.6032989025115967, 0.4797482490539551]",0.5038232008616129
27,0.4,0.1,"[0.4184305965900421, 0.5676823258399963, 0.49972301721572876]",0.49527864654858905
28,0.4,0.2,"[0.40301284193992615, 0.5814965963363647, 0.4913695156574249]",0.4919596513112386
29,0.4,0.30000000000000004,"[0.4150708019733429, 0.5599571466445923, 0.4998294413089752]",0.4916191299756368
30,0.4,0.4,"[0.43485283851623535, 0.568077564239502, 0.48378393054008484]",0.49557144443194073
31,0.4,0.5,"[0.18243271112442017, 0.5631159543991089, 0.43540158867836]",0.393650084733963
32,0.4,0.6,"[0.39701423048973083, 0.5932474732398987, 0.5049307346343994]",0.49839747945467633
33,0.4,0.7000000000000001,"[0.41622740030288696, 0.5512810349464417, 0.4796622395515442]",0.48239022493362427
34,0.4,0.8,"[0.40019163489341736, 0.5946251749992371, 0.5050898194313049]",0.49996887644131977
35,0.4,0.9,"[0.1676538735628128, 0.575102686882019, 0.44764208793640137]",0.39679954946041107
36,0.5,0.1,"[0.18786589801311493, 0.5820840001106262, 0.4559347331523895]",0.4086282104253769
37,0.5,0.2,"[0.41638579964637756, 0.5664323568344116, 0.49344396591186523]",0.4920873741308848
38,0.5,0.30000000000000004,"[0.4174513816833496, 0.5855213403701782, 0.49389323592185974]",0.4989553193251292
39,0.5,0.4,"[0.4195966124534607, 0.5229997634887695, 0.4528156816959381]",0.4651373525460561
40,0.5,0.5,"[0.41936686635017395, 0.5688138604164124, 0.471762090921402]",0.4866476058959961
41,0.5,0.6,"[0.1875232756137848, 0.5774044394493103, 0.4449322521686554]",0.4032866557439168
42,0.5,0.7000000000000001,"[0.15263350307941437, 0.5713596940040588, 0.4618532657623291]",0.3952821542819341
43,0.5,0.8,"[0.19367076456546783, 0.5952117443084717, 0.45675572752952576]",0.4152127454678218
44,0.5,0.9,"[0.37506455183029175, 0.575475811958313, 0.4693642854690552]",0.4733015497525533
45,0.6,0.1,"[0.4227626621723175, 0.560486912727356, 0.4909752905368805]",0.4914082884788513
46,0.6,0.2,"[0.41317325830459595, 0.5687276721000671, 0.4986205995082855]",0.49350717663764954
47,0.6,0.30000000000000004,"[0.40364325046539307, 0.5641249418258667, 0.4999975264072418]",0.4892552395661672
48,0.6,0.4,"[0.39479565620422363, 0.5734277963638306, 0.4947836101055145]",0.4876690208911896
49,0.6,0.5,"[0.40452107787132263, 0.5581207275390625, 0.4824351966381073]",0.4816923340161641
50,0.6,0.6,"[0.4062003195285797, 0.5644614696502686, 0.4934404492378235]",0.48803407947222394
51,0.6,0.7000000000000001,"[0.42591625452041626, 0.5813428163528442, 0.49964508414268494]",0.5023013850053152
52,0.6,0.8,"[0.42614927887916565, 0.5826543569564819, 0.4894248843193054]",0.4994095067183177
53,0.6,0.9,"[0.40951889753341675, 0.5874140858650208, 0.4892140328884125]",0.4953823387622833
54,0.7000000000000001,0.1,"[0.1618354469537735, 0.5810790657997131, 0.4583841562271118]",0.40043288966019946
55,0.7000000000000001,0.2,"[0.39008602499961853, 0.565578281879425, 0.4999611973762512]",0.4852085014184316
56,0.7000000000000001,0.30000000000000004,"[0.4102995693683624, 0.5993760228157043, 0.5157622694969177]",0.5084792872269949
57,0.7000000000000001,0.4,"[0.4320122301578522, 0.5860437154769897, 0.5011875629425049]",0.5064145028591156
58,0.7000000000000001,0.5,"[0.4119897484779358, 0.5536192655563354, 0.46739375591278076]",0.47766758998235065
59,0.7000000000000001,0.6,"[0.42801177501678467, 0.5599235892295837, 0.48938465118408203]",0.49244000514348346
60,0.7000000000000001,0.7000000000000001,"[0.15343116223812103, 0.5783326029777527, 0.4571152329444885]",0.3962929993867874
61,0.7000000000000001,0.8,"[0.16721145808696747, 0.5690581798553467, 0.42444702982902527]",0.3869055559237798
62,0.7000000000000001,0.9,"[0.15940813720226288, 0.5650256872177124, 0.44389039278030396]",0.3894414057334264
63,0.8,0.1,"[0.39933887124061584, 0.5594862103462219, 0.5061954259872437]",0.4883401691913605
64,0.8,0.2,"[0.43156898021698, 0.5620025396347046, 0.47380557656288147]",0.48912569880485535
65,0.8,0.30000000000000004,"[0.41278302669525146, 0.5832018852233887, 0.5026724934577942]",0.49955246845881146
66,0.8,0.4,"[0.40806835889816284, 0.5757692456245422, 0.512901782989502]",0.49891312917073566
67,0.8,0.5,"[0.408382385969162, 0.5476723313331604, 0.4664869010448456]",0.47418053944905597
68,0.8,0.6,"[0.3959561288356781, 0.5990989208221436, 0.5020904541015625]",0.49904850125312805
69,0.8,0.7000000000000001,"[0.4089600741863251, 0.5996466279029846, 0.48995643854141235]",0.49952104687690735
70,0.8,0.8,"[0.422580748796463, 0.5670592188835144, 0.48665130138397217]",0.4920970896879832
71,0.8,0.9,"[0.4243387281894684, 0.5832144021987915, 0.49052947759628296]",0.49936086932818097
72,0.9,0.1,"[0.4072848856449127, 0.5810565948486328, 0.5178496241569519]",0.5020637015501658
73,0.9,0.2,"[0.4231749176979065, 0.5533715486526489, 0.4746498763561249]",0.4837321142355601
74,0.9,0.30000000000000004,"[0.4071420133113861, 0.5626670718193054, 0.49061548709869385]",0.4868081907431285
75,0.9,0.4,"[0.40288245677948, 0.5918158888816833, 0.501791775226593]",0.49883004029591876
76,0.9,0.5,"[0.43764400482177734, 0.5873891115188599, 0.493412584066391]",0.5061485668023428
77,0.9,0.6,"[0.1741446554660797, 0.57724928855896, 0.4529256522655487]",0.4014398654301961
78,0.9,0.7000000000000001,"[0.3921022415161133, 0.5763081908226013, 0.487394243478775]",0.4852682252724965
79,0.9,0.8,"[0.16423341631889343, 0.5808363556861877, 0.4378949701786041]",0.3943215807278951
80,0.9,0.9,"[0.16967543959617615, 0.591892421245575, 0.4498361647129059]",0.4038013418515523
